Country;Christian;Muslim;Unaffiliated;Hindu;Buddhist;Folk Religions;Other Religions;Jewish
Martinique;96.50 %;0.20 %;2.30 %;0.20 %;< 0.1%;0.20 %;0.60 %;< 0.1%
Mauritania;0.30 %;> 99.0%;0.10 %;< 0.1%;< 0.1%;0.50 %;< 0.1%;< 0.1%
Mauritius;25.30 %;16.70 %;0.60 %;56.40 %;< 0.1%;0.70 %;0.30 %;< 0.1%
Mayotte;0.70 %;98.60 %;0.20 %;< 0.1%;< 0.1%;0.50 %;< 0.1%;< 0.1%
Mexico;95.10 %;< 0.1%;4.70 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Moldova;97.40 %;0.60 %;1.40 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.60 %
Monaco;86.00 %;0.40 %;11.70 %;< 0.1%;< 0.1%;< 0.1%;0.20 %;1.70 %
Mongolia;2.30 %;3.20 %;35.90 %;< 0.1%;55.10 %;3.50 %;< 0.1%;< 0.1%
Montenegro;78.10 %;18.70 %;3.20 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Montserrat;93.50 %;< 0.1%;4.80 %;0.10 %;< 0.1%;0.20 %;1.50 %;< 0.1%
Morocco;< 0.1%;> 99.0%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Mozambique;56.70 %;18.00 %;17.90 %;< 0.1%;< 0.1%;7.40 %;< 0.1%;< 0.1%
Namibia;97.50 %;0.30 %;1.90 %;< 0.1%;< 0.1%;0.20 %;< 0.1%;< 0.1%
Nauru;79.00 %;< 0.1%;4.50 %;< 0.1%;1.10 %;8.10 %;7.40 %;< 0.1%
Nepal;0.50 %;4.60 %;0.30 %;80.70 %;10.30 %;3.70 %;< 0.1%;< 0.1%
Netherlands;50.60 %;6.00 %;42.10 %;0.50 %;0.20 %;0.20 %;0.20 %;0.20 %
Netherlands Antilles;93.90 %;0.20 %;3.30 %;0.20 %;0.50 %;1.20 %;0.30 %;0.30 %
New Caledonia;85.20 %;2.80 %;10.40 %;< 0.1%;0.60 %;0.20 %;0.80 %;< 0.1%
New Zealand;57.00 %;1.20 %;36.60 %;2.10 %;1.60 %;0.50 %;0.70 %;0.20 %
Nicaragua;85.80 %;< 0.1%;12.50 %;< 0.1%;< 0.1%;1.40 %;0.10 %;< 0.1%
Niger;0.80 %;98.40 %;0.70 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Nigeria;49.30 %;48.80 %;0.40 %;< 0.1%;< 0.1%;1.40 %;< 0.1%;< 0.1%
Niue;96.40 %;< 0.1%;3.30 %;< 0.1%;< 0.1%;< 0.1%;0.20 %;< 0.1%
North Korea;2.00 %;< 0.1%;71.30 %;< 0.1%;1.50 %;12.30 %;12.90 %;< 0.1%
Northern Mariana Islands;81.30 %;0.70 %;1.00 %;< 0.1%;10.60 %;5.30 %;1.10 %;< 0.1%
